ID,Name,Cores,RAM,Storage,Bandwidth,CPU,Processor,Monthly Cost,Hourly Cost,Plan Type,Active,Since From,Expired,Description
1,Intel Mega,1,14,1200,50,Intel,Intel Xeon Gold 6226R,420,0.3,Memory Optimized,True,2019-07-02,,"A Memory Optimized VPS plan with 14GB RAM, 1 cores, and 1200GB storage."
2,AMD Mini,2,28,1200,1,AMD,AMD EPYC 7402P,310,0.15,Bandwidth Optimized,True,2012-08-13,,"A Bandwidth Optimized VPS plan with 28GB RAM, 2 cores, and 1200GB storage."
3,Intel Orion,8,28,300,3,Intel,Intel Xeon Silver 4216,170,0.16,Storage Optimized,True,2023-06-30,,"A Storage Optimized VPS plan with 28GB RAM, 8 cores, and 300GB storage."
4,AMD Super,8,4,400,4,AMD,AMD EPYC 7742,160,0.1,Storage Optimized,True,2014-04-21,,"A Storage Optimized VPS plan with 4GB RAM, 8 cores, and 400GB storage."
5,Intel Nano,8,2,900,3,Intel,Intel Xeon Platinum 8276,240,0.11,Storage Optimized,True,2018-12-30,,"A Storage Optimized VPS plan with 2GB RAM, 8 cores, and 900GB storage."
6,AMD Titan,6,14,2000,2,AMD,AMD EPYC 7551P,480,0.17,Storage Optimized,True,2021-02-22,,"A Storage Optimized VPS plan with 14GB RAM, 6 cores, and 2000GB storage."
7,Intel Mini,1,1,700,4,Intel,Intel Xeon Gold 6226R,160,0.06,Bandwidth Optimized,True,2014-08-01,,"A Bandwidth Optimized VPS plan with 1GB RAM, 1 cores, and 700GB storage."
8,AMD Galaxy,24,4,200,5,AMD,AMD EPYC 7402P,230,0.21,Memory Optimized,True,2012-12-08,,"A Memory Optimized VPS plan with 4GB RAM, 24 cores, and 200GB storage."
9,Intel Mega,8,96,500,2,Intel,Intel Xeon Silver 4216,350,0.35,Memory Optimized,True,2010-07-21,,"A Memory Optimized VPS plan with 96GB RAM, 8 cores, and 500GB storage."
10,AMD Nebula,6,96,400,1,AMD,AMD EPYC 7742,320,0.33,Compute Optimized,True,2013-03-03,,"A Compute Optimized VPS plan with 96GB RAM, 6 cores, and 400GB storage."
11,Intel Micro,16,1,1500,10,Intel,Intel Xeon Platinum 8276,430,0.22,Compute Optimized,True,2020-01-30,,"A Compute Optimized VPS plan with 1GB RAM, 16 cores, and 1500GB storage."
12,AMD Pulsar,16,4,1000,4,AMD,AMD EPYC 7551P,330,0.18,Memory Optimized,True,2022-06-08,,"A Memory Optimized VPS plan with 4GB RAM, 16 cores, and 1000GB storage."
13,Intel Mega,4,8,500,20,Intel,Intel Xeon Gold 6226R,200,0.15,Bandwidth Optimized,True,2012-05-30,,"A Bandwidth Optimized VPS plan with 8GB RAM, 4 cores, and 500GB storage."
14,AMD Mega,2,4,1700,4,AMD,AMD EPYC 7402P,370,0.11,Bandwidth Optimized,True,2015-12-05,,"A Bandwidth Optimized VPS plan with 4GB RAM, 2 cores, and 1700GB storage."
15,Intel Micro,10,1,600,100,Intel,Intel Xeon Silver 4216,480,0.51,Compute Optimized,True,2010-04-24,,"A Compute Optimized VPS plan with 1GB RAM, 10 cores, and 600GB storage."
